City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
58,San Ramon,US,2022-04-10 13:39:05,37.7799,-121.978,55.62,43,0,5.75,clear sky
59,Georgetown,MY,2022-04-10 13:40:26,5.4112,100.3354,84.15,79,20,2.3,few clouds
60,Ilulissat,GL,2022-04-10 13:44:02,69.2167,-51.1,19.42,53,75,1.14,broken clouds
61,Cidreira,BR,2022-04-10 13:44:02,-30.1811,-50.2056,73.98,80,2,12.37,clear sky
62,Dingle,PH,2022-04-10 13:44:02,10.9995,122.6711,73.44,93,100,4.74,overcast clouds
63,Arraial Do Cabo,BR,2022-04-10 13:44:03,-22.9661,-42.0278,82.36,74,40,6.91,scattered clouds
64,Shihezi,CN,2022-04-10 13:44:03,44.3,86.0333,60.4,20,100,11.79,overcast clouds
65,Pisco,PE,2022-04-10 13:44:03,-13.7,-76.2167,67.01,89,100,4.21,overcast clouds
66,Takoradi,GH,2022-04-10 13:44:04,4.8845,-1.7554,86.13,66,74,9.44,broken clouds
67,Itacurubi Del Rosario,PY,2022-04-10 13:44:04,-24.5,-56.6833,86.41,58,24,8.5,few clouds
68,Tomaszow Mazowiecki,PL,2022-04-10 13:44:04,51.5313,20.0086,45.27,62,93,13.6,overcast clouds
69,Bengkulu,ID,2022-04-10 13:44:04,-3.8004,102.2655,78.94,81,100,3.13,moderate rain
70,Mudu,CN,2022-04-10 13:44:05,31.252,120.5118,64.71,77,6,6.73,clear sky
71,Saskylakh,RU,2022-04-10 13:44:05,71.9167,114.0833,-13.7,100,12,2.95,few clouds
72,Ancud,CL,2022-04-10 13:43:26,-41.8697,-73.8203,49.23,87,99,2.06,overcast clouds
73,Castro,BR,2022-04-10 13:44:05,-24.7911,-50.0119,70.97,71,100,4.25,overcast clouds
74,Padang,ID,2022-04-10 13:44:06,-0.9492,100.3543,84.25,87,100,2.53,moderate rain
75,Okha,RU,2022-04-10 13:44:06,53.5739,142.9478,17.42,92,74,4.83,broken clouds
76,Sinnamary,GF,2022-04-10 13:44:06,5.3833,-52.95,80.51,85,92,13.58,overcast clouds
77,Tiksi,RU,2022-04-10 13:44:07,71.6872,128.8694,-12.23,100,100,1.81,overcast clouds
78,Rocha,UY,2022-04-10 13:43:55,-34.4833,-54.3333,76.48,53,2,10.54,clear sky
79,Broken Hill,AU,2022-04-10 13:44:07,-31.95,141.4333,71.31,46,0,3.44,clear sky
80,Severo-Kurilsk,RU,2022-04-10 13:44:08,50.6789,156.125,30.43,85,100,15.64,light snow
81,Geraldton,AU,2022-04-10 13:44:08,-28.7667,114.6,61.21,82,40,4.61,scattered clouds
82,Nikolskoye,RU,2022-04-10 13:42:18,59.7035,30.7861,46.87,74,99,11.25,overcast clouds
83,Yashkul,RU,2022-04-10 13:44:08,46.1711,45.3435,69.08,28,2,9.06,clear sky
84,Torata,PE,2022-04-10 13:44:09,-17.0769,-70.8433,64.29,40,7,5.1,clear sky
85,Binzhou,CN,2022-04-10 13:44:09,37.3667,118.0167,76.8,39,0,12.44,clear sky
86,Ahuimanu,US,2022-04-10 13:44:09,21.4447,-157.8378,74.91,81,75,8.05,broken clouds
87,Moussoro,TD,2022-04-10 13:44:10,13.6408,16.4901,107.4,5,100,3.18,overcast clouds
88,Williston,US,2022-04-10 13:44:10,48.147,-103.618,32.74,52,4,7.29,clear sky
89,Suslovo,RU,2022-04-10 13:44:10,56.2167,88.1167,26.06,83,100,6.62,overcast clouds
90,Bud,US,2022-04-10 13:44:11,39.447,-86.1758,48.88,64,3,7.78,clear sky
91,Kaitangata,NZ,2022-04-10 13:44:11,-46.2817,169.8464,46.29,93,12,2.66,few clouds
92,Roebourne,AU,2022-04-10 13:44:11,-20.7833,117.1333,86.92,31,13,11.23,few clouds
93,Torbay,CA,2022-04-10 13:44:12,47.6666,-52.7314,42.28,95,100,16.11,overcast clouds
94,Tautira,PF,2022-04-10 13:44:12,-17.7333,-149.15,80.22,79,45,15.23,light rain
95,Pinawa,CA,2022-04-10 13:44:12,50.1489,-95.8811,36.27,86,88,3.67,overcast clouds
96,Provideniya,RU,2022-04-10 13:44:13,64.3833,-173.3,23.61,98,99,7.94,overcast clouds
97,Avarua,CK,2022-04-10 13:44:13,-21.2078,-159.775,77.05,100,40,2.3,scattered clouds
98,Coquimbo,CL,2022-04-10 13:44:13,-29.9533,-71.3436,55.13,94,100,3.44,overcast clouds
99,Galdar,ES,2022-04-10 13:44:14,28.147,-15.6502,67.35,71,37,8.32,scattered clouds
100,Zaraza,VE,2022-04-10 13:44:14,9.3503,-65.3245,88.88,43,42,9.08,scattered clouds
101,Buin,CL,2022-04-10 13:44:14,-33.7333,-70.75,64.06,55,0,3.69,clear sky
102,Norman Wells,CA,2022-04-10 13:44:14,65.282,-126.8329,6.84,72,75,11.5,broken clouds
103,Cape Town,ZA,2022-04-10 13:44:15,-33.9258,18.4232,84.11,33,0,11.5,clear sky
104,Laramie,US,2022-04-10 13:44:15,41.3114,-105.5911,28.96,41,0,24.16,clear sky
105,Mastic Beach,US,2022-04-10 13:44:15,40.7668,-72.8521,49.12,61,100,12.66,overcast clouds
106,Narsaq,GL,2022-04-10 13:44:16,60.9167,-46.05,34.02,41,100,1.54,overcast clouds
107,Haapsalu,EE,2022-04-10 13:44:16,58.9431,23.5414,45.99,58,78,14.63,broken clouds
108,Qujing,CN,2022-04-10 13:44:16,25.4833,103.7833,59.23,72,19,4.54,few clouds
109,Boa Vista,BR,2022-04-10 13:42:15,2.8197,-60.6733,82.38,65,40,14.97,scattered clouds
110,Port Augusta,AU,2022-04-10 13:44:17,-32.5,137.7667,66.9,87,6,12.37,clear sky
111,Monterey,US,2022-04-10 13:40:54,36.2505,-121.2516,42.17,1,16,8.05,few clouds
112,Upernavik,GL,2022-04-10 13:44:17,72.7868,-56.1549,2.8,74,47,6.26,scattered clouds
113,Whitehorse,CA,2022-04-10 13:44:18,60.7161,-135.0538,13.1,62,40,9.22,scattered clouds
114,Ankazobe,MG,2022-04-10 13:44:18,-18.3167,47.1167,69.6,70,10,11.65,clear sky
115,Yellowknife,CA,2022-04-10 13:42:44,62.456,-114.3525,7.41,83,40,13.8,scattered clouds
116,Maxixe,MZ,2022-04-10 13:41:17,-23.8597,35.3472,76.82,94,75,6.91,drizzle
117,Alofi,NU,2022-04-10 13:44:18,-19.0595,-169.9187,75.09,94,2,0.0,clear sky
118,Lasa,IT,2022-04-10 13:44:19,46.6166,10.7002,52.7,56,65,6.26,broken clouds
119,Adrar,MR,2022-04-10 13:44:19,20.5022,-10.0711,97.99,4,0,6.67,clear sky
120,Kulhudhuffushi,MV,2022-04-10 13:44:19,6.6221,73.07,85.33,69,92,11.92,overcast clouds
121,Souillac,MU,2022-04-10 13:44:19,-20.5167,57.5167,80.98,74,40,11.5,light intensity shower rain
122,Mitsamiouli,KM,2022-04-10 13:44:20,-11.3847,43.2844,83.32,72,52,2.77,broken clouds
123,Kodiak,US,2022-04-10 13:44:20,57.79,-152.4072,33.31,40,0,12.66,clear sky
124,Olafsvik,IS,2022-04-10 13:44:20,64.8945,-23.7142,37.83,89,100,22.68,overcast clouds
125,Nara,JP,2022-04-10 13:44:21,34.6851,135.8049,65.52,52,100,0.47,overcast clouds
126,Berlevag,NO,2022-04-10 13:44:21,70.8578,29.0864,39.2,80,3,17.36,clear sky
127,Amapa,BR,2022-04-10 13:44:21,1.0,-52.0,77.16,95,100,4.34,overcast clouds
